announced,body_type,camera_name,sensor_size,dp_score,n_had,n_own,n_want,price_high,price_low,questions,reviewed_date,user_review_count,user_score
"Sep 23, 2008
 ",Large SLR,Leica S2,Medium format (45 x 30 mm),,5,17,36,,,0 questions asked,,1,5
"Oct 20, 2015
 ",Large SLR,Leica SL (Typ 601),Full frame (36 x 24 mm),84%,67,96,163,,,154 questions asked,"Reviewed Feb 22, 2017",6,4.42708
"Apr 24, 2014
 ",Rangefinder-style mirrorless,Leica T (Typ 701),APS-C (23.6 x 15.7 mm),,33,55,67,,,3 questions asked,"Reviewed Apr 24, 2014",3,3.33333
"Nov 8, 2016
 ",Rangefinder-style mirrorless,Leica TL,APS-C (23.6 x 15.7 mm),,0,4,6,,,0 questions asked,"Reviewed Jun 16, 2017",,
"Jul 10, 2017
 ",Rangefinder-style mirrorless,Leica TL2,APS-C (23.6 x 15.7 mm),,5,4,22,,,1 question asked,"Reviewed Jul 10, 2017",,
"Sep 14, 2014
 ",,Leica V-Lux (Typ 114),,,0,16,4,,,1 question asked,,2,4.25
"Sep 14, 2006
 ",Compact,Leica V-LUX 1,"1/1.8"" (7.144 x 5.358 mm)",,10,11,2,,,0 questions asked,,16,4.4875
"Sep 21, 2010
 ",SLR-like (bridge),Leica V-Lux 2,"1/2.33"" (6.08 x 4.56 mm)",,4,6,3,,,0 questions asked,,1,4
"Apr 20, 2010
 ",Compact,Leica V-Lux 20,"1/2.33"" (6.08 x 4.56 mm)",,0,6,0,,,1 question asked,,5,4.6
"Dec 8, 2011
 ",SLR-like (bridge),Leica V-Lux 3,"1/2.3"" (6.17 x 4.55 mm)",,2,5,1,,,1 question asked,,1,3.5
"May 26, 2011
 ",Compact,Leica V-Lux 30 / Panasonic Lumix DMC-TZ22,"1/2.33"" (6.08 x 4.56 mm)",,0,8,5,,,0 questions asked,,1,4.5
"Sep 17, 2012
 ",SLR-like (bridge),Leica V-Lux 4,"1/2.33"" (6.08 x 4.56 mm)",,8,26,6,,,12 questions asked,,5,4.7
"May 10, 2012
 ",Compact,Leica V-Lux 40,"1/2.33"" (6.08 x 4.56 mm)",,1,14,1,,,3 questions asked,,,
"Sep 16, 2014
 ",Large sensor compact,Leica X (Typ 113),APS-C (23 x 15.5 mm),,24,28,70,,,,,,
"Jun 11, 2013
 ",Large sensor compact,Leica X Vario,APS-C (23.6 x 15.8 mm),,15,59,13,,,45 questions asked,,3,4.91667
"Sep 9, 2009
 ",Large sensor compact,Leica X1,APS-C (23.6 x 15.8 mm),,30,43,8,,,75 questions asked,"Reviewed Dec 18, 2009",4,4.5
"May 10, 2012
 ",Large sensor compact,Leica X2,APS-C (23.6 x 15.8 mm),,11,43,19,,,76 questions asked,,4,4.5
"Jan 20, 2016
 ",Large sensor compact,Leica X-U (Typ 113),APS-C (23.6 x 15.7 mm),,3,4,25,,,1 question asked,,,
,SLR-style mirrorless,LYTRO ILLUM 40 Megaray Light Field Camera,"1/2"" (6.4 x 4.8 mm)",,21,30,27,,,,,,
"Oct 19, 2011
 ",Compact,Lytro Light Field 16GB,,,1,13,18,$169.00 ,$81.80 ,0 questions asked,"Reviewed Feb 29, 2012",,
"Oct 19, 2011
 ",Compact,Lytro Light Field 8GB,,,3,18,9,$169.00 ,$81.80 ,1 question asked,"Reviewed Feb 29, 2012",1,0.5
"Jun 24, 2000
 ",Compact,Minolta DiMAGE 2300,"1/1.75"" (7.36 x 5.52 mm)",,0,0,0,,,0 questions asked,,59,3.07458
"Sep 20, 2000
 ",,Minolta DiMAGE 2330,,,0,0,0,,,0 questions asked,,35,3.35714
"Feb 11, 2001
 ",Compact,Minolta DiMAGE 5,"1/1.8"" (7.144 x 5.358 mm)",,7,1,0,,,0 questions asked,"Reviewed Sep 23, 2001",71,4.18873
"Feb 11, 2001
 ",Compact,Minolta DiMAGE 7,"2/3"" (8.8 x 6.6 mm)",,47,29,3,,,1 question asked,"Reviewed Jul 11, 2001",178,4.14719
"Sep 10, 2002
 ",Compact,Minolta DiMAGE 7Hi,"2/3"" (8.8 x 6.6 mm)",,29,9,0,,,0 questions asked,"Reviewed Nov 1, 2002",79,4.42785
"Mar 13, 2002
 ",Compact,Minolta DiMAGE 7i,"2/3"" (8.8 x 6.6 mm)",,56,7,1,,,0 questions asked,"Reviewed Jun 21, 2002",101,4.4495
"Aug 7, 2003
 ",Compact,Minolta DiMAGE A1,"2/3"" (8.8 x 6.6 mm)",,50,19,0,,,0 questions asked,"Reviewed Nov 11, 2003",78,4.46154
"May 22, 2001
 ",Compact,Minolta DiMAGE E201,"1/1.75"" (7.36 x 5.52 mm)",,0,0,0,,,0 questions asked,,15,3.76
"Sep 5, 2001
 ",Compact,Minolta DiMAGE E203,"1/2.7"" (5.312 x 3.984 mm)",,2,0,0,,,0 questions asked,,17,4.27647
"Mar 2, 2003
 ",Compact,Minolta DiMAGE E223,"1/2.7"" (5.312 x 3.984 mm)",,0,0,0,,,0 questions asked,,5,3.74
"Aug 7, 2003
 ",Compact,Minolta DiMAGE E323,"1/2.7"" (5.312 x 3.984 mm)",,4,1,0,,,0 questions asked,,8,4.1625
"Aug 31, 1998
 ",,Minolta DiMAGE EX 1500 Wide,,,2,1,1,,,0 questions asked,,2,3.75
"Aug 31, 1998
 ",Compact,Minolta DiMAGE EX 1500 Zoom,"1/2"" (6.4 x 4.8 mm)",,4,3,0,,,0 questions asked,"Reviewed Feb 6, 1999",9,3.96667
"Mar 13, 2002
 ",Ultracompact,Minolta DiMAGE F100,"1/1.8"" (7.144 x 5.358 mm)",,15,1,0,,,0 questions asked,"Reviewed Oct 9, 2002",74,4.42432
